AE,BT,BW,CF,DT,ET,GL,HF,LF,NT,P,PF,PFC,PFCM,PFCm,SC
4.129,312.190320187,1636.5,4737.3,0.065547,312.25586754,Y,6893.4,2402.6,15.0,G,4651.2,4995.7;4651.2;5512.5;4048.2;5081.8;4651.2;3962.1;3531.4;4737.3;4737.3,5512.5,3531.4,S
2.255,312.262767261,344.5,6546.1,0.031049,312.293816008,Y,7859.0,6152.4,16.0,G,6546.1,6546.1;6546.1;6460.0;6546.1,6546.1,6460.0,S
4.071,312.323139824,1636.5,4823.4,0.063822,312.386962247,Y,6803.6,2492.4,15.0,G,4823.4,4737.3;5081.8;5081.8;6201.6;4823.4;4823.4;4909.6;4220.5;4823.4;4823.4,6201.6,4220.5,S
1.752,312.395586898,258.4,6632.2,0.037835,312.433422078,Y,7859.0,6287.2,16.0,G,6632.2,6718.4;6632.2;6632.2;6632.2;6632.2,6718.4,6632.2,S
4.138,312.454121243,1636.5,4995.7,0.062097,312.516218735,Y,7612.0,2537.3,15.0,G,4909.6,5168.0;5512.5;5512.5;4995.7;4909.6;4909.6;3789.8;4995.7;4651.2,5512.5,3789.8,S
2.183,312.526568317,344.5,6718.4,0.034499,312.561066924,Y,7701.8,6377.0,16.0,G,6632.2,6718.4;6632.2;6632.2;6804.5;6718.4,6804.5,6632.2,S
3.47,315.569041244,1464.3,5426.4,0.098321,315.667362274,Y,6466.8,3794.8,13.0,G,5426.4,4995.7;5770.9;5254.1;4651.2;5081.8;5512.5;5512.5;5081.8;5426.4;5426.4;5684.8;5857.0;5857.0;5168.0;5168.0;6115.4,6115.4,4651.2,S
1.874,315.836405448,861.3,5426.4,0.096596,315.933001548,Y,6062.6,4288.7,14.0,G,5426.4,5857.0;5684.8;5684.8;5512.5;5512.5;5426.4;5426.4;5426.4;5426.4;5254.1;5081.8;4909.6;5512.5;4995.7;4737.3;4651.2,5857.0,4651.2,S
3.493,316.064170652,1464.3,5598.6,0.117295,316.181465916,Y,7073.1,3996.8,13.0,G,5770.9,5512.5;5426.4;5081.8;4651.2;5426.4;5684.8;5512.5;5168.0;5512.5;5770.9;5857.0;5857.0;6201.6;5426.4;5081.8;5857.0;5512.5;5168.0;6029.3;5857.0,6201.6,4651.2,S
3.908,316.269437364,1636.5,4565.0,0.039673,316.309110762,Y,7252.7,2694.5,15.0,G,4651.2,4651.2;4392.8;3703.7;5426.4;4220.5;4565.0,5426.4,3703.7,S
2.402,316.321185274,516.8,6460.0,0.043123,316.364308533,Y,6915.9,5905.4,16.0,G,6460.0,6460.0;6460.0;6632.2;6632.2;6201.6;6632.2,6632.2,6201.6,S
3.995,316.40053207,1981.1,4565.0,0.058648,316.459179702,Y,6646.4,2784.3,15.0,G,4565.0,6115.4;4220.5;4048.2;5168.0;4565.0;4565.0;4651.2;5081.8;4220.5;4220.5,6115.4,4048.2,S
1.9,316.473053514,258.4,6460.0,0.02235,316.49540324,Y,6848.5,6174.9,16.0,G,6460.0,6460.0;6546.1;6460.0,6546.1,6460.0,S
3.956,316.533351707,1722.7,4737.3,0.058648,316.591999339,Y,7230.2,2492.4,15.0,G,4651.2,6201.6;4651.2;4651.2;5081.8;4651.2;4651.2;4651.2;5340.2;4737.3,6201.6,4651.2,S
1.958,316.605798782,172.3,6546.1,0.038211,316.644009361,Y,7409.9,6130.0,16.0,G,6546.1,6546.1;6546.1;6546.1;6546.1;6546.1,6546.1,6546.1,S
4.149,316.666433455,1636.5,4823.4,0.062097,316.728530948,Y,6938.3,2627.1,15.0,G,4737.3,5512.5;5081.8;5081.8;4995.7;4737.3;5081.8;4737.3;5168.0;4737.3;4995.7,5512.5,4737.3,S
2.264,316.735430669,258.4,6460.0,0.036224,316.771654207,Y,7567.1,6130.0,16.0,G,6460.0,6460.0;6460.0;6460.0;6460.0;6460.0,6460.0,6460.0,S
4.018,316.790628441,1464.3,4737.3,0.065547,316.856175794,Y,6915.9,2874.1,15.0,G,4651.2,5770.9;5168.0;5512.5;4220.5;4651.2;4651.2;4651.2;5770.9;4737.3;4651.2,5770.9,4220.5,S
2.291,316.868250306,430.7,6546.1,0.034499,316.902748914,Y,7567.1,6242.3,16.0,G,6546.1,6546.1;6546.1;6546.1;6632.2;6546.1,6632.2,6546.1,S
4.006,316.923448078,1722.7,4737.3,0.062097,316.98554557,Y,6871.0,2717.0,15.0,G,4651.2,4651.2;4651.2;4134.4;4737.3;4651.2;4651.2;4565.0;4737.3;4737.3,4737.3,4134.4,S
1.972,316.995895152,344.5,6632.2,0.032774,317.028668829,Y,7769.1,6242.3,16.0,G,6546.1,6632.2;6546.1;6632.2;6632.2;6546.1,6632.2,6546.1,S
4.14,317.057992645,1550.4,5081.8,0.056923,317.114915347,Y,7207.8,2582.2,15.0,G,4823.4,5340.2;5340.2;5857.0;4823.4;4823.4;3962.1;5081.8;4823.4;4737.3,5857.0,3962.1,S
1.959,317.128527047,430.7,6718.4,0.039861,317.168388188,Y,7679.3,6354.5,16.0,G,6718.4,6718.4;6718.4;6718.4;6632.2;6718.4;6718.4,6718.4,6632.2,S
4.013,317.187174679,1636.5,4823.4,0.056923,317.24409738,Y,6960.8,2492.4,15.0,G,4737.3,4565.0;4651.2;4737.3;4909.6;4737.3;4651.2;4737.3;4823.4;4651.2,4909.6,4565.0,S
2.002,317.260333718,516.8,6546.1,0.040686,317.301020082,Y,8016.1,6107.5,16.0,G,6546.1,6546.1;6546.1;6632.2;6632.2;6546.1;6546.1,6632.2,6546.1,S
3.49,318.400998098,1550.4,5512.5,0.094871,318.495869267,Y,7252.7,3817.2,13.0,G,5512.5,5770.9;5426.4;5426.4;6546.1;5770.9;5081.8;4478.9;5081.8;5512.5;5684.8;5684.8;6287.7;5684.8;5426.4;4909.6,6546.1,4478.9,S
1.963,318.692511327,947.5,5340.2,0.093146,318.785657566,Y,5927.9,4490.8,14.0,G,5426.4,5857.0;5857.0;5512.5;5426.4;5426.4;5426.4;5340.2;5254.1;5081.8;4823.4;4737.3;5426.4;5081.8;4909.6;4651.2,5857.0,4651.2,S
3.626,318.908839557,1894.9,5426.4,0.11212,319.020960029,Y,7724.2,3772.3,13.0,G,5512.5,5426.4;5081.8;5081.8;5081.8;5426.4;5081.8;4651.2;4737.3;5168.0;5512.5;5512.5;5770.9;6546.1;5857.0;5081.8;6976.8;5512.5;5512.5,6976.8,4651.2,S
3.905,319.100306826,1894.9,4995.7,0.060373,319.160679388,Y,6646.4,3255.9,15.0,G,4823.4,5512.5;5512.5;5770.9;4823.4;4823.4;4651.2;4823.4;4737.3;6287.7,6287.7,4651.2,S
2.101,319.17102897,602.9,6546.1,0.046573,319.217602089,Y,6826.1,5770.7,16.0,G,6632.2,6632.2;6632.2;6632.2;6287.7;6201.6;6201.6;5943.2,6632.2,5943.2,S
3.976,319.234851393,1464.3,4651.2,0.060373,319.295223955,Y,6556.6,3300.8,15.0,G,4651.2,4565.0;4478.9;4995.7;4651.2;4737.3;3876.0;5770.9;4651.2;4565.0,5770.9,3876.0,S
2.075,319.305573537,258.4,6546.1,0.043123,319.348696796,Y,7746.7,6174.9,16.0,G,6546.1,6546.1;6546.1;6546.1;6632.2;6718.4;6632.2,6718.4,6546.1,S
3.887,319.36767103,1464.3,4737.3,0.056923,319.424593732,Y,6983.2,3098.7,15.0,G,4651.2,4651.2;4220.5;4995.7;4651.2;4651.2;4651.2;4909.6;4909.6,4995.7,4220.5,S
1.959,319.433218383,258.4,6546.1,0.036224,319.469441921,Y,7387.4,6085.1,16.0,G,6546.1,6460.0;6546.1;6546.1;6373.8;6460.0,6546.1,6373.8,S
4.013,319.49666535,1722.7,4909.6,0.060373,319.557037912,Y,7050.6,2941.5,15.0,G,4823.4,4565.0;4565.0;5168.0;4823.4;4823.4;4909.6;5770.9;4823.4;4651.2,5770.9,4565.0,S
2.092,319.567387494,344.5,6632.2,0.034499,319.601886101,Y,7342.5,6264.7,16.0,G,6632.2,6632.2;6632.2;6718.4;6546.1;6718.4,6718.4,6546.1,S
3.885,319.627760057,1550.4,4737.3,0.058648,319.686407689,Y,7005.7,2964.0,15.0,G,4651.2,4651.2;5081.8;5081.8;4995.7;4651.2;4737.3;5770.9;4651.2;4737.3,5770.9,4651.2,S
1.92,319.69503234,258.4,6546.1,0.032774,319.727806017,Y,7679.3,6242.3,16.0,G,6546.1,6632.2;6546.1;6546.1;6546.1;6632.2,6632.2,6546.1,S
4.173,319.746780251,1636.5,4995.7,0.068997,319.815777465,Y,7320.1,3233.4,15.0,G,4909.6,5598.6;5512.5;5081.8;4220.5;5081.8;4909.6;4909.6;5081.8;4651.2;4823.4;4651.2,5598.6,4220.5,S
2.128,319.824402117,344.5,6460.0,0.037948,319.862350584,Y,7701.8,6017.7,16.0,G,6546.1,6373.8;6546.1;6546.1;6546.1;6460.0;6546.1,6546.1,6373.8,S
4.157,319.879599888,1808.8,4909.6,0.065547,319.945147241,Y,7477.2,2986.4,15.0,G,4737.3,5426.4;4995.7;4995.7;5426.4;4737.3;4737.3;4651.2;5426.4;5426.4;4651.2,5426.4,4651.2,S
2.117,319.957221754,344.5,6546.1,0.041398,319.998620082,Y,8083.5,6085.1,16.0,G,6546.1,6546.1;6546.1;6546.1;6632.2;6546.1;6632.2,6632.2,6546.1,S
3.988,320.013769028,1722.7,4909.6,0.068997,320.082766242,Y,7432.3,2559.8,15.0,G,4823.4,5081.8;4995.7;4995.7;4220.5;4823.4;4823.4;4909.6;5426.4;4651.2;6201.6;6029.3,6201.6,4220.5,S
2.147,320.089665963,344.5,6804.5,0.036224,320.125889501,Y,8510.1,6421.9,16.0,G,6804.5,6804.5;6804.5;6718.4;6632.2;6718.4,6804.5,6632.2,S
3.726,321.644912333,1808.8,5426.4,0.094871,321.739783502,Y,7612.0,3907.0,13.0,G,5340.2,6115.4;5512.5;5512.5;4478.9;5943.2;5512.5;5512.5;4737.3;5340.2;5512.5;5857.0;6460.0;5512.5;5168.0;4737.3,6460.0,4478.9,S
2.145,321.973301502,1033.6,5254.1,0.094871,322.068172671,Y,5860.5,4535.7,14.0,G,5426.4,5684.8;5770.9;5770.9;5684.8;5684.8;5598.6;5512.5;5426.4;5168.0;4995.7;4823.4;4909.6;5340.2;4995.7;4737.3;5168.0,5770.9,4737.3,S
3.524,322.242390636,1636.5,5770.9,0.075897,322.318287572,Y,8195.8,3480.4,13.0,G,5770.9,5426.4;5168.0;5512.5;5770.9;5770.9;5857.0;5943.2;5943.2;5512.5;4995.7;5512.5;5426.4,5943.2,4995.7,S
3.875,322.399723908,1894.9,5168.0,0.054833,322.45455707,Y,8240.7,3233.4,15.0,G,4823.4,6115.4;3789.8;5426.4;4823.4;5081.8;6287.7;5081.8;4651.2,6287.7,3789.8,S
1.758,322.463181721,172.3,6546.1,0.025874,322.489055677,Y,6803.6,6130.0,16.0,G,6546.1,6546.1;6546.1;6546.1,6546.1,6546.1,S
4.061,322.542528518,1292.0,4823.4,0.058648,322.601176149,Y,8308.0,2514.9,15.0,G,4737.3,4478.9;5081.8;5081.8;4995.7;4737.3;4737.3;4737.3;4737.3;4737.3;4737.3,5081.8,4478.9,S
1.864,322.613250662,172.3,6460.0,0.025874,322.639124617,Y,7207.8,6174.9,16.0,G,6460.0,6460.0;6460.0;6373.8,6460.0,6373.8,S
3.991,322.680522946,1292.0,4737.3,0.053473,322.733995786,Y,8240.7,2223.0,15.0,G,4651.2,4995.7;4995.7;4823.4;4651.2;4651.2;4651.2;4651.2;4220.5,4995.7,4220.5,S
1.696,322.746070299,258.4,6632.2,0.029324,322.775394115,Y,7612.0,6354.5,16.0,G,6632.2,6632.2;6632.2;6546.1;6632.2,6632.2,6546.1,S
3.961,322.806442861,1550.4,4737.3,0.058648,322.865090493,Y,8195.8,2088.2,15.0,G,4737.3,4995.7;4995.7;5943.2;4737.3;4651.2;4048.2;6201.6;4651.2;4737.3,6201.6,4048.2,S
1.861,322.875440075,430.7,6718.4,0.044848,322.920288264,Y,7948.8,6399.4,16.0,G,6632.2,6632.2;6632.2;6632.2;6718.4;6632.2;6632.2;6718.4,6718.4,6632.2,S
4.124,322.940987429,1636.5,4909.6,0.056923,322.99791013,Y,8173.3,2065.8,15.0,G,4823.4,4995.7;4995.7;4995.7;4823.4;4823.4;4995.7;5512.5;4995.7;4995.7,5512.5,4823.4,S
2.355,323.004809852,516.8,6718.4,0.043123,323.04793311,Y,7769.1,6219.8,16.0,G,6546.1,6804.5;6718.4;6546.1;6460.0;6718.4;6632.2;6718.4,6804.5,6460.0,S
4.215,323.061732553,1550.4,4909.6,0.068997,323.130729767,Y,7836.5,2178.1,15.0,G,4909.6,5512.5;4651.2;4651.2;4220.5;4909.6;4909.6;4909.6;5426.4;5081.8;5081.8;2411.7,5512.5,2411.7,S
2.462,323.137629489,602.9,6632.2,0.039673,323.177302887,Y,7814.1,5658.5,16.0,G,6546.1,6890.6;6546.1;6546.1;6460.0;6632.2;6632.2,6890.6,6460.0,S
3.815,323.196277121,1636.5,4737.3,0.062097,323.258374613,Y,7724.2,2043.3,15.0,G,4651.2,4565.0;5081.8;4134.4;5426.4;4651.2;4651.2;4134.4;4651.2;4651.2;4651.2,5426.4,4134.4,S
1.93,323.266999265,258.4,6632.2,0.041398,323.308397593,Y,7522.1,6399.4,16.0,G,6632.2,6632.2;6632.2;6632.2;6804.5;6718.4;6632.2,6804.5,6632.2,S
3.831,323.328271477,1550.4,4651.2,0.063822,323.3920939,Y,7522.1,2223.0,15.0,G,4651.2,4565.0;4651.2;4134.4;4995.7;4651.2;4651.2;4220.5;5770.9;4651.2;4651.2,5770.9,4134.4,S
2.207,323.400718551,258.4,6632.2,0.037948,323.438667019,Y,7589.5,6332.1,16.0,G,6632.2,6546.1;6632.2;6632.2;6546.1;6632.2;6718.4,6718.4,6546.1,S
3.608,325.225766049,1894.9,5598.6,0.131095,325.356860756,Y,8182.9,3810.3,13.0,G,5512.5,5254.1;5254.1;5168.0;3876.0;5426.4;5426.4;4995.7;5512.5;5684.8;5770.9;5770.9;5857.0;6201.6;6029.3;6976.8;6029.3;5684.8;5684.8;6287.7;6115.4;5857.0,6976.8,3876.0,S
1.827,325.543947685,861.3,5340.2,0.090627,325.634574542,Y,5746.7,4378.6,14.0,G,4995.7,5598.6;5598.6;5598.6;5598.6;5512.5;5426.4;5340.2;5254.1;5081.8;4651.2;5254.1;4995.7;4737.3;4737.3,5598.6,4651.2,S
3.369,325.767394179,1550.4,5598.6,0.11212,325.879514652,Y,6691.3,4064.2,13.0,G,5857.0,6115.4;6115.4;5168.0;4651.2;4651.2;5857.0;6287.7;6115.4;5081.8;5512.5;5770.9;5857.0;5943.2;6287.7;6115.4;5081.8;5340.2;4737.3,6287.7,4651.2,S
3.825,325.97093596,1550.4,4651.2,0.050023,326.020958941,Y,7544.6,2694.5,15.0,G,4565.0,3789.8;4651.2;4565.0;4565.0;4220.5;4565.0;4651.2;6029.3,6029.3,3789.8,S
1.828,326.027858662,258.4,6632.2,0.029324,326.057182478,Y,7342.5,6377.0,16.0,G,6546.1,6632.2;6546.1;6546.1;6632.2,6632.2,6546.1,S
4.023,326.098580806,1894.9,4737.3,0.056923,326.155503508,Y,7365.0,2537.3,15.0,G,4823.4,4823.4;4220.5;4220.5;4823.4;4823.4;4651.2;5081.8;4651.2;4651.2,5081.8,4220.5,S
2.471,326.169302951,516.8,6460.0,0.031049,326.200351697,Y,7432.3,6040.2,16.0,G,6287.7,6546.1;6287.7;6287.7;6632.2;6287.7,6632.2,6287.7,S
4.147,326.229675513,1808.8,4737.3,0.056923,326.286598215,Y,7589.5,2357.7,15.0,G,4737.3,5081.8;5081.8;4220.5;4737.3;4737.3;4737.3;4995.7;4737.3,5081.8,4220.5,S
2.376,326.300397657,516.8,6546.1,0.032774,326.333171334,Y,7477.2,6062.6,16.0,G,6546.1,6546.1;6804.5;6718.4;6804.5,6804.5,6546.1,S
4.229,326.357320359,1722.7,4737.3,0.056923,326.414243061,Y,8061.0,2223.0,15.0,G,4306.6,4651.2;4651.2;4220.5;4651.2;4306.6;4306.6;5943.2;4651.2,5943.2,4220.5,S
1.939,326.425304607,258.4,6632.2,0.041398,326.466702936,Y,7903.9,6421.9,16.0,G,6632.2,6718.4;6632.2;6632.2;6632.2;6632.2;6632.2,6718.4,6632.2,S
3.925,326.4874021,1378.1,4909.6,0.056923,326.544324801,Y,7522.1,2088.2,15.0,G,4737.3,4651.2;4651.2;3962.1;4823.4;4737.3;3962.1;5081.8;4478.9;4823.4,5081.8,3962.1,S
2.29,326.554674384,344.5,6632.2,0.044848,326.599522573,Y,8353.0,5613.5,16.0,G,6632.2,6632.2;6632.2;6632.2;6632.2;6632.2;6632.2,6632.2,6632.2,S
3.888,326.620221737,1808.8,4651.2,0.056923,326.677144438,Y,8038.6,2200.5,15.0,G,4651.2,5081.8;5081.8;5081.8;4651.2;4651.2;4651.2;4048.2;4565.0;4565.0,5081.8,4048.2,S
1.904,326.689218951,258.4,6632.2,0.039673,326.728892349,Y,7724.2,6242.3,16.0,G,6632.2,6632.2;6632.2;6546.1;6632.2;6632.2;6632.2,6632.2,6546.1,S
4.064,326.753041374,1808.8,4909.6,0.056923,326.809964075,Y,7926.3,2380.1,15.0,G,4909.6,4737.3;4737.3;5943.2;4909.6;4909.6;4909.6;6201.6;4651.2;4651.2,6201.6,4651.2,S
2.165,326.820313658,172.3,6632.2,0.039673,326.859987056,Y,7701.8,5995.3,16.0,G,6632.2,7235.2;6632.2;6632.2;6632.2;6632.2;6632.2,7235.2,6632.2,S
4.123,326.88068622,1808.8,4823.4,0.065547,326.946233573,Y,7567.1,2425.1,15.0,G,4737.3,4995.7;4995.7;3962.1;5081.8;4737.3;4737.3;3962.1;5168.0;4306.6;4565.0,5168.0,3962.1,S
2.199,326.953133295,430.7,6718.4,0.044848,326.997981484,Y,7454.8,6309.6,16.0,G,6718.4,6804.5;6718.4;6718.4;6632.2;6460.0;6632.2;6632.2,6804.5,6460.0,S
3.769,328.439382421,1808.8,5512.5,0.11212,328.551502894,Y,7933.0,3772.3,13.0,G,5598.6,5081.8;5340.2;5340.2;4565.0;4478.9;5598.6;5168.0;4565.0;5081.8;5598.6;5857.0;5943.2;6546.1;5857.0;5168.0;6976.8;5512.5;5512.5;6201.6,6976.8,4478.9,S
1.828,328.701571835,1033.6,5426.4,0.096596,328.798167934,Y,5905.4,4535.7,14.0,G,5081.8,5770.9;5770.9;5770.9;5598.6;5512.5;5512.5;5512.5;5512.5;5340.2;5254.1;5081.8;4909.6;5254.1;4909.6;4651.2;4737.3,5770.9,4651.2,S
3.439,328.944787014,1292.0,5512.5,0.108671,329.053457626,Y,6713.8,4243.8,13.0,G,5512.5,5684.8;5512.5;4909.6;5426.4;5770.9;5340.2;4651.2;5168.0;5512.5;5770.9;5770.9;6373.8;5943.2;5512.5;4651.2;5857.0;5512.5;6201.6,6373.8,4651.2,S
3.942,329.136254283,1550.4,4737.3,0.055198,329.191452054,Y,7320.1,2200.5,15.0,G,4737.3,5168.0;3876.0;5081.8;4737.3;4651.2;4737.3;4909.6;4565.0;4737.3,5168.0,3876.0,S
2.344,329.203526567,516.8,6546.1,0.034499,329.238025174,Y,7095.5,6219.8,16.0,G,6546.1,6546.1;6546.1;6632.2;6460.0;6804.5,6804.5,6460.0,S
4.293,329.275973642,1722.7,4823.4,0.060373,329.336346204,Y,7701.8,2043.3,15.0,G,4306.6,4392.8;4737.3;4737.3;5081.8;4306.6;4306.6;4565.0;4737.3;4737.3;4478.9,5081.8,4306.6,S
2.119,329.348420716,430.7,6718.4,0.039673,329.388094114,Y,7634.4,6444.3,16.0,G,6718.4,6718.4;6718.4;6804.5;6718.4;6718.4;6718.4,6804.5,6718.4,S
4.14,329.411867683,1636.5,4909.6,0.060373,329.472240245,Y,7971.2,2133.1,15.0,G,4823.4,5081.8;5081.8;5512.5;4823.4;4823.4;4909.6;5857.0;4737.3;5168.0,5857.0,4737.3,S
2.016,329.480864897,258.4,6546.1,0.032774,329.513638574,Y,7724.2,6264.7,16.0,G,6546.1,6546.1;6546.1;6546.1;6546.1,6546.1,6546.1,S
4.104,329.537787599,1550.4,4823.4,0.063822,329.601610022,Y,8083.5,1976.0,15.0,G,4651.2,4995.7;4995.7;4134.4;4995.7;4651.2;5168.0;4048.2;4909.6;4651.2;4737.3,5168.0,4048.2,S
1.893,329.608509743,172.3,6632.2,0.041398,329.649908071,Y,7746.7,6130.0,16.0,G,6632.2,6632.2;6632.2;6632.2;6546.1;6632.2;6632.2,6632.2,6546.1,S
3.944,329.667157375,1636.5,4565.0,0.065547,329.732704728,Y,7926.3,1931.1,15.0,G,4478.9,4565.0;4909.6;3962.1;4651.2;4478.9;4478.9;4134.4;4995.7;4392.8;4737.3,4995.7,3962.1,S
1.956,329.741591491,344.5,6632.2,0.043123,329.78471475,Y,7926.3,6399.4,16.0,G,6718.4,6718.4;6718.4;6632.2;6632.2;6632.2;6632.2,6718.4,6632.2,S
4.137,329.796789262,2067.2,4737.3,0.067272,329.864061546,Y,7589.5,1953.5,15.0,G,4737.3,5512.5;4220.5;5081.8;4220.5;4909.6;4737.3;4737.3;3789.8;6201.6;4737.3;4737.3,6201.6,3789.8,S
2.025,329.875310806,516.8,6632.2,0.038774,329.914084526,Y,8061.0,6377.0,16.0,G,6632.2,6632.2;6632.2;6632.2;6632.2;6632.2,6632.2,6632.2,S
4.109,329.933304074,1981.1,4909.6,0.062097,329.995401567,Y,7612.0,2155.6,15.0,G,5512.5,4478.9;4737.3;4220.5;4220.5;5512.5;5512.5;3962.1;4651.2;4306.6,5512.5,3962.1,S
2.152,330.005751149,258.4,6546.1,0.036224,330.041974686,Y,7365.0,6264.7,16.0,G,6632.2,6632.2;6632.2;6460.0;6460.0;6546.1,6632.2,6460.0,S
4.086,330.067848642,1722.7,4823.4,0.058648,330.126496273,Y,7724.2,2065.8,15.0,G,4823.4,4995.7;4306.6;5340.2;4823.4;5081.8;4048.2;5168.0;4651.2;4737.3,5340.2,4048.2,S
2.107,330.133586543,430.7,6632.2,0.046383,330.179969114,Y,8057.9,6377.0,16.0,G,6632.2,6804.5;6632.2;6632.2;6632.2;6632.2;6632.2;6632.2,6804.5,6632.2,S
3.572,331.493838465,1808.8,5770.9,0.101771,331.595609356,Y,8442.8,4019.3,13.0,G,5770.9,5770.9;5770.9;5512.5;6201.6;5598.6;5168.0;4995.7;5512.5;5770.9;6115.4;6201.6;5943.2;5512.5;7407.4;6287.7;6632.2;5340.2,7407.4,4995.7,S
3.736,332.225208934,1722.7,5598.6,0.110396,332.335604476,Y,8420.3,3615.1,13.0,G,5598.6,5426.4;5598.6;5512.5;4651.2;4392.8;6287.7;5168.0;4737.3;5168.0;5598.6;5684.8;5770.9;6287.7;5512.5;5168.0;6287.7;5512.5;5168.0;5684.8,6287.7,4392.8,S
1.856,332.482223556,775.2,5426.4,0.101771,332.583994447,Y,5927.9,4445.9,14.0,G,5512.5,5770.9;5770.9;5770.9;5598.6;5598.6;5512.5;5512.5;5512.5;5426.4;5426.4;5168.0;5081.8;5512.5;5168.0;4909.6;4651.2,5770.9,4651.2,S
3.568,332.740548819,1292.0,5684.8,0.105221,332.845769571,Y,7656.9,3772.3,13.0,G,5770.9,5770.9;5684.8;4909.6;5426.4;6029.3;5426.4;5081.8;4909.6;5426.4;5684.8;5770.9;5770.9;6546.1;5770.9;5081.8;5770.9;6632.2,6632.2,4909.6,S
3.726,332.923391437,1378.1,4737.3,0.058648,332.982039069,N,7387.4,2649.6,15.0,G,4737.3,4220.5;3962.1;4995.7;4737.3;4651.2;4737.3;5081.8;4737.3;4737.3,5081.8,3962.1,S
2.303,332.99066372,344.5,6460.0,0.041398,333.032062049,Y,6871.0,5725.8,16.0,G,6460.0,6460.0;6460.0;6460.0;6460.0;6373.8;6460.0,6460.0,6373.8,S
4.215,333.066560656,1808.8,4823.4,0.058648,333.125208288,Y,7881.4,2065.8,15.0,G,4823.4,4306.6;4306.6;3962.1;4823.4;4823.4;4737.3;4737.3;4392.8;4392.8;4737.3,4823.4,3962.1,S
1.801,333.133832939,258.4,6460.0,0.050023,333.18385592,Y,7140.4,6174.9,16.0,G,6546.1,6546.1;6460.0;6460.0;6460.0;6460.0;6373.8;6373.8;6460.0,6546.1,6373.8,S
3.933,333.197655362,1808.8,4737.3,0.063822,333.261477785,Y,7971.2,3053.8,15.0,G,4565.0,4737.3;4995.7;4995.7;5081.8;4565.0;4565.0;4478.9;5081.8;4651.2;6201.6,6201.6,4478.9,S
1.876,333.271827368,430.7,6632.2,0.034499,333.306325975,Y,7589.5,6421.9,16.0,G,6632.2,6632.2;6632.2;6632.2;6632.2;6632.2,6632.2,6632.2,S
4.083,333.330474999,1722.7,4651.2,0.060373,333.390847562,N,7791.6,2335.2,15.0,G,4478.9,4478.9;4737.3;5512.5;4565.0;4478.9;4048.2;5168.0;4392.8;4478.9,5512.5,4048.2,S
2.247,333.402922074,516.8,6718.4,0.046573,333.449495194,Y,8083.5,6421.9,16.0,G,6632.2,6804.5;6632.2;6632.2;6632.2;6632.2;6632.2;6632.2,6804.5,6632.2,S
3.977,333.461569706,1550.4,4737.3,0.065547,333.527117059,Y,7567.1,2043.3,15.0,G,4737.3,5081.8;4565.0;5081.8;3962.1;4909.6;4737.3;4737.3;3876.0;4737.3;4737.3;4737.3,5081.8,3876.0,S
2.312,333.534016781,344.5,6632.2,0.037948,333.571965249,Y,7522.1,6174.9,16.0,G,6632.2,6632.2;6632.2;6546.1;6632.2;6546.1,6632.2,6546.1,S
4.291,333.587489622,1550.4,4995.7,0.065547,333.653036975,N,7679.3,2447.5,15.0,G,4909.6,5340.2;5168.0;5168.0;5512.5;4995.7;4909.6;4909.6;5168.0;4995.7;4995.7,5512.5,4909.6,S
1.9,333.663386557,172.3,6632.2,0.043123,333.706509816,Y,8195.8,6332.1,16.0,G,6632.2,6632.2;6632.2;6632.2;6546.1;6632.2;6632.2;6632.2,6632.2,6546.1,S
4.104,333.718584328,1981.1,4651.2,0.068997,333.787581542,Y,7275.2,2200.5,15.0,G,4565.0,4651.2;5081.8;5081.8;4306.6;4565.0;4565.0;3876.0;5340.2;4306.6;4392.8;4220.5,5340.2,3876.0,S
1.975,333.796206194,258.4,6460.0,0.039673,333.835879592,Y,7522.1,5950.4,16.0,G,6460.0,6460.0;6460.0;6460.0;6460.0;6460.0;6373.8,6460.0,6373.8,S
4.28,333.860028617,1894.9,4995.7,0.065547,333.92557597,Y,8465.2,2133.1,15.0,G,4995.7,5426.4;4651.2;5081.8;3962.1;4995.7;5081.8;3962.1;5857.0;4651.2;4823.4,5857.0,3962.1,S
1.915,333.935925553,258.4,6632.2,0.043123,333.979048811,Y,7634.4,6242.3,16.0,G,6632.2,6632.2;6632.2;6632.2;6546.1;6632.2;6546.1;6546.1,6632.2,6546.1,S
3.578,335.626241789,1464.3,5512.5,0.103075,335.729316576,Y,7933.0,3904.0,13.0,G,5598.6,4909.6;5943.2;5081.8;5081.8;4737.3;5426.4;5081.8;4909.6;5340.2;5598.6;5598.6;5770.9;5943.2;5512.5;4995.7;5943.2;3962.1,5943.2,3962.1,S
3.664,336.542890779,1981.1,5770.9,0.127645,336.670535625,Y,8712.2,3929.5,13.0,G,5857.0,6201.6;6029.3;6029.3;5943.2;5857.0;5857.0;4995.7;4306.6;5512.5;5512.5;4995.7;5512.5;5770.9;5857.0;6201.6;6632.2;6201.6;5168.0;6976.8;6201.6;6201.6,6976.8,4306.6,S
1.988,336.855103172,1205.9,5254.1,0.103496,336.958598993,Y,5972.8,4490.8,14.0,G,5857.0,5770.9;5857.0;5857.0;5770.9;5684.8;5512.5;5512.5;5426.4;5340.2;5340.2;5168.0;4909.6;5254.1;4995.7;4737.3;4651.2;4651.2,5857.0,4651.2,S
